Coeff.Re,Coeff.Im
 -0.0157889, 0.0107878
 0.0132977, -0.0109199
 -0.0212098, 0.0063915
 0.0293414, 0.0045943
 -0.0370970, -0.0188917
 0.0486810, 0.0607529
 -0.0838470, -0.1107781
 0.1370793, 0.1285019
 -0.1709161, -0.0649357
 0.1427198, -0.1047765
 0.0101478, 0.3719629
 -0.3321409, -0.6493320
 0.7285122, 0.6850328
 -0.8085342, -0.3126248
 0.1507596, -0.2050778
 0.7172287, 0.0601135
 0.4409057, 0.3814628
 0.3125585, -0.2759921
 -0.0253590, -0.0806408
 0.1465071, -0.1290248
 -0.2813242, -0.1277533
 0.1677117, 0.0888424
 -0.2910799, -0.1039647
 0.2464882, 0.1261496
 -0.1973258, -0.0433618
 0.1065967, 0.0415598
 -0.1113647, -0.0451072
 0.0883107, 0.0244129
 -0.0578541, 0.0026822
 0.0427735, -0.0100765
 -0.0238691, 0.0104693
 0.0181771, -0.0117308
